pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,real_spread
Trafalgar Group (R),2016-11-06,2016-11-06,MI,1200,LV,49.0,47.0,2.8,2.0,0.29999999999999716
Gravis,2016-11-01,2016-11-04,MI,1079,RV,41.0,46.0,3.0,-5.0,0.29999999999999716
FOX 2 Detroit,2016-11-03,2016-11-03,MI,1007,LV,45.0,50.0,3.1,-5.0,0.29999999999999716
PPP (D),2016-11-03,2016-11-04,MI,957,LV,44.0,50.0,3.2,-6.0,0.29999999999999716
Detroit Free Press,2016-11-01,2016-11-03,MI,600,LV,38.0,42.0,4.0,-4.0,0.29999999999999716
