pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,real_spread
NY Times,2016-11-04,2016-11-06,NC,800,LV,44.0,44.0,3.5,0.0,3.5999999999999943
Quinnipiac,2016-11-03,2016-11-06,NC,870,LV,45.0,48.0,3.3,-3.0,3.5999999999999943
Gravis,2016-11-01,2016-11-04,NC,1250,RV,45.0,46.0,2.8,-1.0,3.5999999999999943
Trafalgar Group (R),2016-10-27,2016-11-01,NC,870,,49.0,44.0,2.9,5.0,3.5999999999999943
WRAL-TV,2016-10-28,2016-10-31,NC,659,LV,51.0,44.0,3.9,7.0,3.5999999999999943
CBS News,2016-10-26,2016-10-28,NC,992,LV,45.0,48.0,4.1,-3.0,3.5999999999999943
