pollster,start_date,end_date,state,sample_size,respondent_type,REP,DEM,moe,spread,real_spread
Trafalgar Group (R),2016-11-03,2016-11-05,PA,1300,LV,48.0,47.0,2.7,1.0,0.7000000000000028
Morning Call,2016-10-30,2016-11-04,PA,405,LV,42.0,48.0,5.5,-6.0,0.7000000000000028
Harper (R),2016-11-02,2016-11-03,PA,504,LV,46.0,46.0,4.4,0.0,0.7000000000000028
Gravis,2016-11-01,2016-11-02,PA,1016,RV,45.0,47.0,3.1,-2.0,0.7000000000000028
Susquehanna,2016-10-31,2016-11-01,PA,681,LV,43.0,45.0,3.8,-2.0,0.7000000000000028
Monmouth,2016-10-29,2016-11-01,PA,403,LV,44.0,48.0,4.9,-4.0,0.7000000000000028
